湖南频道ipv6,#genre#
CCTV4K,https://gh-proxy.org/https://raw.githubusercontent.com/buhanzhe/webSourceM3U8/main/k-web/ku9/js/hnyx.js?id=CCTV_4K&dur=10.001&offset=162424040
CCTV16-4K,https://gh-proxy.org/https://raw.githubusercontent.com/buhanzhe/webSourceM3U8/main/k-web/ku9/js/hnyx.js?id=CCTV16_4K&dur=10.005&offset=163467306
东方卫视4K,https://gh-proxy.org/https://raw.githubusercontent.com/buhanzhe/webSourceM3U8/main/k-web/ku9/js/hnyx.js?id=dfws4K&dur=10.0066&offset=175802900
广东卫视4K,https://gh-proxy.org/https://raw.githubusercontent.com/buhanzhe/webSourceM3U8/main/k-web/ku9/js/hnyx.js?id=gdws4K&dur=10.001&offset=175896974
湖南卫视4K,https://gh-proxy.org/https://raw.githubusercontent.com/buhanzhe/webSourceM3U8/main/k-web/ku9/js/hnyx.js?id=hnws4K&dur=10.0066&offset=175789332
江苏卫视4K,https://gh-proxy.org/https://raw.githubusercontent.com/buhanzhe/webSourceM3U8/main/k-web/ku9/js/hnyx.js?id=jsws4K&dur=10.025&offset=175470420
四川卫视4K,https://gh-proxy.org/https://raw.githubusercontent.com/buhanzhe/webSourceM3U8/main/k-web/ku9/js/hnyx.js?id=scws4K&dur=10.032&offset=175363868
山东卫视4K,https://gh-proxy.org/https://raw.githubusercontent.com/buhanzhe/webSourceM3U8/main/k-web/ku9/js/hnyx.js?id=sdws4K&dur=10.0105&offset=175728436
深圳卫视4K,https://gh-proxy.org/https://raw.githubusercontent.com/buhanzhe/webSourceM3U8/main/k-web/ku9/js/hnyx.js?id=szws4K&dur=10.005&offset=175081932
浙江卫视4K,https://gh-proxy.org/https://raw.githubusercontent.com/buhanzhe/webSourceM3U8/main/k-web/ku9/js/hnyx.js?id=zjws4K&dur=10.0105&offset=175728140

吉林频道,#genre#
吉林卫视,https://gh-proxy.org/https://raw.githubusercontent.com/buhanzhe/webSourceM3U8/main/k-web/ku9/js/jlntv.js?id=jlws
吉林都市,https://gh-proxy.org/https://raw.githubusercontent.com/buhanzhe/webSourceM3U8/main/k-web/ku9/js/jlntv.js?id=ds
吉林生活,https://gh-proxy.org/https://raw.githubusercontent.com/buhanzhe/webSourceM3U8/main/k-web/ku9/js/jlntv.js?id=sh
